DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
6,Stamet Manokwari( MAPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,96.8%
7,Stamet Enarotali (ERPN),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,96.8%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN MEI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Accelerograph NON COLOCCATED,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),100%,97%,100%,79%,100%,100%,100%,100%,100%,100%,78%,100%,100%,100%,0%,88%,86%,94%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,94.0%
2,Stageof Angkasa (JGPI),100%,77%,73%,49%,56%,78%,27%,100%,77%,100%,52%,53%,76%,100%,0%,68%,69%,45%,98%,100%,80%,100%,60%,55%,76%,99%,60%,60%,80%,84%,50%,71.0%
3,Stamet Sentani ( JMPI),97%,99%,98%,98%,100%,100%,100%,100%,100%,100%,77%,94%,100%,100%,0%,88%,97%,98%,99%,99%,99%,99%,79%,99%,99%,60%,99%,99%,100%,100%,,92.6%
4,Stamet Biak ( BMPI),100%,99%,50%,99%,100%,98%,100%,100%,100%,100%,26%,73%,100%,99%,0%,71%,84%,98%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,89.8%
5,Stamet Timika ( TMPI),100%,99%,100%,98%,99%,99%,100%,100%,100%,96%,77%,99%,100%,100%,0%,89%,97%,97%,97%,99%,99%,100%,99%,97%,99%,99%,96%,65%,100%,100%,,93.3%
6,Stamet Manokwari (MAPI),99%,98%,45%,97%,98%,97%,98%,97%,72%,99%,65%,73%,98%,99%,0%,65%,72%,99%,98%,98%,98%,99%,99%,99%,99%,49%,99%,97%,98%,99%,99%,87.2%
7,Stamet Enarotali (ERPN),100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,76%,100%,100%,100%,0%,89%,75%,84%,98%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,94.2%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JUNI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-,
1,Balai Besar MKG Wilayah V (JBPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
2,Stageof Angkasa (JGPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
3,Stamet Sentani ( JMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
4,Stamet Biak ( BMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
5,Stamet Timika ( TMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
6,Stamet Manokwari( MAPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
7,Stamet Enarotali (ERPN),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JUNI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
