ID_ALAT,ID_STASIUN,JENIS_PERALATAN,NAMA_PERALATAN,MERK,LATITUDE,LONGITUDE
ALT0155,GEO002,Seismometer,NBPI (Station Nabire),-,-3.366,135.497
ALT0156,GEO002,Seismometer,"IWPI (Rasiei, Teluk Wondama)",-,-2.758,134.516
ALT0157,GEO002,Seismometer,"SWPM (Sidey, Manokwari)",-,-0.804,133.595
ALT0158,GEO002,Accelerograph,Stamet Enarotali (ERPN),-,-3.927,136.381
ALT0159,GEO002,Lightning Detector,Stamet Timika,-,-4.530,136.893
ALT0160,GEO002,Lightning Detector,Stageof Nabire,-,-3.376,135.473
ALT0161,GEO002,WRS NG,Stageof Nabire,-,-3.376,135.473
ALT0162,GEO002,WRS NG,BPBD  Kab. Nabire,-,-3.318,135.556
ALT0163,GEO002,WRS NG,BPBD Supiori,-,-0.755,135.726
ALT0164,GEO003,Seismometer,RKPI (Station Ransiki),-,-1.511,134.177
ALT0165,GEO003,Seismometer,MWPI (Station Manokwari),-,-0.926,134.043
ALT0166,GEO003,Seismometer,"ANAPI (Anggi, PegununganArfak)",-,-1.323,133.912
ALT0167,GEO003,Seismometer,"MBPI (Manimeri, Teluk Bintuni)",-,-2.035,133.732
ALT0168,GEO003,Seismometer,KMPI (Station Kaimana),-,-3.662,133.704
ALT0169,GEO003,Seismometer,"BATPI (Babo, TelukBintuni)",-,-2.543,133.446
ALT0170,GEO003,Seismometer,"AMPM (Aifat, Maybrat)",-,-1.267,132.491
ALT0171,GEO003,Seismometer,FAKI (Station Fakfak),-,-2.919,132.265
ALT0172,GEO003,Seismometer,"FKSPI (Sawiat, SorongSelatan)",-,-1.159,139.016
ALT0173,GEO003,Seismometer,"TSPI (Terminabuan, Sorong Selatan)",-,-1.473,132.090
ALT0174,GEO003,Seismometer,SIJI (Station Sorong - CTBTO),-,-0.869,131.266
ALT0175,GEO003,Seismometer,SWI (Station Sorong),-,-0.863,131.259
ALT0176,GEO003,Seismometer,"KARPI (Kabare, RajaAmpat)",-,-0.061,130.991
ALT0177,GEO003,Seismometer,RAPI (Raja Ampat),-,-0.410,130.821
ALT0178,GEO003,Seismometer,"MBRPI (MisoolBarat, RajaAmpat)",-,-1.771,130.407
ALT0179,GEO003,Seismometer,"KORPI (Kofiau, RajaAmpat)",-,-1.158,129.845
ALT0180,GEO003,Seismometer,"GARPI (PulauGag, RajaAmpat)",-,-0.435,129.900
ALT0181,GEO003,Accelerograph,Stamet Manokwari( MAPI),-,-0.890,134.051
ALT0182,GEO003,Lightning Detector,Stageof Sorong,-,-0.862,131.259
ALT0183,GEO003,WRS NG,Stageof Sorong,-,-0.862,131.259
ALT0184,GEO003,WRS NG,BPBD. Raja Ampat,-,-0.428,130.806
ALT0185,GEO003,WRS NG,BPBD. Sorong Selatan,-,-1.473,132.090
ALT0186,GEO003,WRS NG,BPBD. Teluk Wonadama,-,-2.825,134.536
ALT0187,GEO003,WRS NG,BPBD. Teluk Bintuni,-,-2.033,133.732
ALT0188,GEO003,WRS NG,BPBD. Kab. Sorong,-,-0.988,131.366
ALT0189,GEO003,WRS NG,BPBD Kota Sorong,-,-0.881,131.288
ALT0190,GEO003,Sirene,RRI Manokwari,-,-0.856,134.072
